,metro,city,stnPlace,stnAddr,rapidCnt,slowCnt,carType
314,서울특별시,서대문구,연희대우 아파트,서울특별시 서대문구 연희동 739,0,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
315,서울특별시,서대문구,연희동 홍연2교 옆 노상주차장,서울특별시 서대문구 연희동 736,1,0,"SM3 Z.E,테슬라"
316,서울특별시,서대문구,연희동성원아파트,"서울특별시 서대문구 연희로32길 48 (연희동, 연희동성원아파트)",1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
317,서울특별시,서대문구,인왕산한신휴플러스,서울특별시 서대문구 홍제동 469,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
318,서울특별시,서대문구,홍은1동 제4공영주차장,서울특별시 서대문구 홍은동 11-23,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
319,서울특별시,서초구,LH서초4단지 아파트,서울특별시 서초구 우면동 788,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
320,서울특별시,서초구,LH서초5단지,서울특별시 서초구 우면동 368-1,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
321,서울특별시,서초구,강남전력지사,서울특별시 서초구 서초동 1355,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
322,서울특별시,서초구,구룡공원 공영주차장,서울특별시 서초구 양재동 399,1,0,"SM3 Z.E,테슬라"
323,서울특별시,서초구,국립 중앙도서관,서울특별시 서초구 반포동 산 94-1,2,0,"SM3 Z.E,테슬라"
324,서울특별시,서초구,남서울농협 하나로마트 우면점,서울특별시 서초구 우면동 763,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
325,서울특별시,서초구,대한무역투자진흥공사,서울특별시 서초구 염곡동 300-9,2,0,"SM3 Z.E,테슬라"
326,서울특별시,서초구,동산마을 공영주차장,서울특별시 서초구 양재동 370-5,1,0,"SM3 Z.E,테슬라"
327,서울특별시,서초구,래미안서초7차 아파트,서울특별시 서초구 서초동 1642-34,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
328,서울특별시,서초구,래미안서초스위트 아파트,서울특별시 서초구 서초동 1301-6,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
329,서울특별시,서초구,롯데캐슬헤론,서울특별시 서초구 방배동 754-1,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
330,서울특별시,서초구,리첸시아방배,서울특별시 서초구 방배동 755-14,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
